player_name,passing_rating
McKenna Brand,7.0985
Shiann Darkangelo,6.915
Kaleigh Fratkin,6.611
Alyssa Wohlfeiler,5.9285
Tereza Vanisova,5.7175
Lindsay Eastwood,5.451
Taylor Turnquist,5.4265
Alyson Matteau,5.3795
Samantha Ridgewell,5.3315
Taylor Woods,5.2905
Emma Vlasic,5.276
Carly Jackson,5.2395
Christina Putigna,5.224
Victoria Hanson,5.147
Jillian Dempsey,5.142
Emma Woods,5.0805
Sarah Steele,5.0745
Taytum Clairmont,5.035
Caty Flagg,5
Mikyla Grant-Mentis,4.922
Meghan Lorence,4.9055
Mallory Souliotis,4.886
Tori Howran,4.8665
Kiira Dosdall,4.8365
Amy Curlew,4.8255
Sydney Baldwin,4.787
Amanda Leveille,4.745
Kelly Babstock,4.7315
Brooke Wolejko,4.6875
Elaine Chuli,4.6675
Brooke Boquist,4.6605
Marie-Jo Pelletier,4.6585
Madison Packer,4.5775
Nina Rodgers,4.526
Lovisa Selander,4.4765
Haley Mack,4.434
Tori Sullivan,4.3905
Kate Leary,4.377
Kristin Lewicki,4.375
Lauren Kelly,4.3665
Samantha Davis,4.331
Abbie Ives,4.32
Sonjia Shelly,4.312
Maggie LaGue,4.2975
Emma Stauber,4.296
Tera Hofmann,4.286
Breanne Wilson-Bennett,4.2075
Rebecca Morse,4.2045
Meaghan Pezon,4.1675
Theresa Knutson,4.1675
Taylor Wenczkowski,4.164
Megan Quinn,4.1055
Shannon Doyle,4.0595
Whitney Dove,4.024
Brooke Avery,3.9815
Stephanie Anderson,3.947
Leila Kilduff,3.922
Paige Capistran,3.825
Saroya Tinker,3.802
Lexie Laing,3.802
Mackenzie Lancaster,3.7905
Maddie Rowe,3.77
Dominique Kremer,3.6895
Kristen Barbara,3.6855
Emily Fluke,3.6805
Briana Mastel,3.6795
Cassidy MacPherson,3.5935
Allie Olnowich,3.578
Carlee Turner,3.547
Rebecca Russo,3.5305
Brooke Stacey,3.52
Mary Parker,3.4485
Rachael Ade,3.383
Jordan Juron,3.3725
Natalie Marcuzzi,3.325
Erin Gehen,3.2685
Nicole Guagliardo,3.267
Jonna Curtis,3.254
Allie Thunstrom,3.2425
Mariah Fujimagari,3.236
Lisa Chesson,3.2165
Rose Alleva,3.1955
Janine Weber,3.175
Kendall Cornine,3.1025
Autumn MacDougall,3.078
Sarah-Eve Coutu Godbout,3.0255
Sammy Kolowrat,3.0145
Hunter Accursi,2.931
Emily Janiga,2.9225
Mallory Rushton,2.914
Brittany Colton,2.907
Hanna Beattie,2.876
Elena Orlando,2.8345
Emma Greco,2.7485
Winny Brodt-Brown,2.7385
Paige Voight,2.7275
Haylea Schmid,2.726
Taylor Marchin,2.7205
Mackenzie MacNeil,2.712
Grace Klienbach,2.643
Katelynn Russ,2.6295
Sara Bustad,2.6165
Jenna Rheault,2.583
Lenka Curmova,2.5755
Kayla Friesen,2.572
Chelsey Brodt-Rosenthal,2.505
Taylor Wasylk,2.3965
Julie Allen,2.3935
Meaghan Rickard,2.315
Megan Delay,2.161
Meghara McManus,2.0325
Cailey Hutchison,1.9765
Neve Van Pelt,1.9385
Laurel Hill,1.909
Iveta Klimasova,1.9085
Brooke White,1.822
Audra Richards,1.8165
Amanda Conway,1.77
Maeve Reilly,1.4345
Jayne Lewis,1.4185
Kaycie Anderson,1.3645
Sarah Hughson,1.361
Sarah Schwenzfeier,1.063
Maddie Bishop,0.9805
Kayla Meneghin,0.938
Lynn Astrup,0.0645
