,name,position
0,Carlee Turner,O
1,Christina Putigna,O
2,Jillian Dempsey,O
3,Lexie Laing,O
4,McKenna Brand,O
5,Meaghan Rickard,O
6,Meghara McManus,O
7,Taylor Wenczkowski,O
8,Tereza Vanisova,O
9,Tori Sullivan,O
10,Autumn MacDougall,O
11,Brooke Stacey,O
12,Cassidy MacPherson,O
13,Erin Gehen,O
14,Hunter Accursi,O
15,Iveta Klimasova,O
16,Jordan Juron,O
17,Kayla Meneghin,O
18,Kristin Lewicki,O
19,Alyssa Wohlfeiler,O
20,Amanda Conway,O
21,Emma Vlasic,O
22,Grace Klienbach,O
23,Janine Weber,O
24,Kaycie Anderson,O
25,Kayla Friesen,O
26,Mackenzie Lancaster,O
27,Maddie Bishop,O
28,Sarah Schwenzfeier,O
29,Brooke Avery,O
30,Cailey Hutchison,O
31,Emily Janiga,O
32,Jayne Lewis,O
33,Kate Leary,O
34,Kelly Babstock,O
35,Kendall Cornine,O
36,Madison Packer,O
37,Mallory Rushton,O
38,Rebecca Russo,O
39,Theresa Knutson,O
40,Allie Thunstrom,O
41,Haley Mack,O
42,Haylea Schmid,O
43,Jonna Curtis,O
44,Lynn Astrup,O
45,Meaghan Pezon,O
46,Meghan Lorence,O
47,Nina Rodgers,O
48,Stephanie Anderson,O
49,Amy Curlew,O
50,Breanne Wilson-Bennett,O
51,Brooke Boquist,O
52,Emily Fluke,O
53,Emma Woods,O
54,Julie Allen,O
55,Mackenzie MacNeil,O
56,Mikyla Grant-Mentis,O
57,Natalie Marcuzzi,O
58,Sarah-Eve Coutu Godbout,O
59,Shiann Darkangelo,O
60,Taylor Woods,O
61,Taytum Clairmont,O
62,Lovisa Selander,O
63,Samantha Davis,O
64,Victoria Hanson,O
65,Caty Flagg,O
66,Abbie Ives,O
67,Brooke Wolejko,O
68,Katelynn Russ,O
69,Maeve Reilly,O
70,Mariah Fujimagari,O
71,Nicole Guagliardo,O
72,Rachael Ade,O
73,Sonjia Shelly,O
74,Amanda Leveille,O
75,Audra Richards,O
76,Sara Bustad,O
77,Elaine Chuli,O
78,Samantha Ridgewell,O
79,Briana Mastel,D
80,Jenna Rheault,D
81,Kaleigh Fratkin,D
82,Lauren Kelly,D
83,Mallory Souliotis,D
84,Paige Capistran,D
85,Taylor Turnquist,D
86,Alyson Matteau,D
87,Dominique Kremer,D
88,Lenka Curmova,D
89,Lisa Chesson,D
90,Marie-Jo Pelletier,D
91,Whitney Dove,D
92,Elena Orlando,D
93,Hanna Beattie,D
94,Laurel Hill,D
95,Tori Howran,D
96,Allie Olnowich,D
97,Leila Kilduff,D
98,Saroya Tinker,D
99,Chelsey Brodt-Rosenthal,D
100,Emma Stauber,D
101,Maddie Rowe,D
102,Rose Alleva,D
103,Sydney Baldwin,D
104,Winny Brodt-Brown,D
105,Emma Greco,D
106,Kristen Barbara,D
107,Lindsay Eastwood,D
108,Megan Quinn,D
109,Sarah Steele,D
110,Mary Parker,D
111,Carly Jackson,D
112,Megan Delay,D
113,Neve Van Pelt,D
114,Taylor Wasylk,D
115,Maggie LaGue,D
116,Sarah Hughson,D
117,Shannon Doyle,D
118,Taylor Marchin,D
119,Kiira Dosdall,D
120,Paige Voight,D
121,Rebecca Morse,D
122,Sammy Kolowrat,D
123,Tera Hofmann,D
124,Brooke White,D
125,Brittany Colton,D
